ID,cTime,maxDeflection,vi,surfaceTension,radius
NaN,0.7,0.0984,-0.476,27,0.35
NaN,7.48,1.5306,-0.642,27,1.75
NaN,14.2,2.626,-0.556,27,2.78
NaN,0.64,0.0902,-0.476,32,0.35
NaN,6.86,1.4087,-0.642,32,1.75
NaN,13.24,2.4131,-0.556,32,2.78
NaN,0.59,0.0837,-0.476,37,0.35
NaN,6.4,1.3119,-0.642,37,1.75
NaN,12.24,2.2389,-0.556,37,2.78
NaN,0.56,0.0786,-0.476,42,0.35
NaN,6.04,1.2343,-0.642,42,1.75
NaN,11.48,2.1023,-0.556,42,2.78
NaN,0.53,0.0743,-0.476,47,0.35
NaN,5.76,1.1693,-0.642,47,1.75
NaN,10.84,1.9902,-0.556,47,2.78
NaN,0.5,0.0709,-0.476,52,0.35
NaN,5.46,1.1106,-0.642,52,1.75
NaN,10.36,1.894,-0.556,52,2.78
NaN,0.49,0.0682,-0.476,57,0.35
NaN,5.2,1.0607,-0.642,57,1.75
NaN,9.96,1.8092,-0.556,57,2.78
NaN,0.47,0.0653,-0.476,62,0.35
NaN,5,1.0175,-0.642,62,1.75
NaN,9.64,1.7356,-0.556,62,2.78
NaN,0.45,0.0634,-0.476,67,0.35
NaN,4.8,0.9797,-0.642,67,1.75
NaN,9.24,1.6675,-0.556,67,2.78
NaN,0.45,0.0621,-0.476,72,0.35
NaN,4.64,0.9474,-0.642,72,1.75
NaN,8.88,1.6068,-0.556,72,2.78
NaN,0.44,0.061,-0.476,77,0.35
NaN,4.5,0.915,-0.642,77,1.75
NaN,8.6,1.5544,-0.556,77,2.78
NaN,0.42,0.059,-0.476,82,0.35
NaN,4.36,0.8894,-0.642,82,1.75
NaN,8.32,1.5075,-0.556,82,2.78
NaN,0.41,0.0569,-0.476,87,0.35
NaN,4.26,0.8634,-0.642,87,1.75
NaN,8.08,1.4637,-0.556,87,2.78
20211024212031,0.44,0.0443,-0.476,67,0.35
20211024212035,4.8,0.9738,-0.642,67,1.75
20211024212049,9.08,1.6599,-0.556,67,2.78
20211024212136,0.44,0.0437,-0.476,68,0.35
20211024212141,4.78,0.9678,-0.642,68,1.75
20211024212156,9.02,1.6482,-0.556,68,2.78
20211024212248,0.44,0.043,-0.476,69,0.35
20211024212253,4.76,0.9611,-0.642,69,1.75
20211024212309,8.96,1.6361,-0.556,69,2.78
20211024212401,0.44,0.0423,-0.476,70,0.35
20211024212406,4.72,0.9543,-0.642,70,1.75
20211024212420,8.9,1.6256,-0.556,70,2.78
20211024212509,0.44,0.0417,-0.476,71,0.35
20211024212513,4.7,0.947,-0.642,71,1.75
20211024212528,8.86,1.6151,-0.556,71,2.78
20211024212617,0.44,0.041,-0.476,72,0.35
20211024212621,4.66,0.9398,-0.642,72,1.75
20211024212636,8.8,1.6043,-0.556,72,2.78
20211024212729,0.44,0.0404,-0.476,73,0.35
20211024212734,4.62,0.9335,-0.642,73,1.75
20211024212754,8.74,1.5935,-0.556,73,2.78
20211024212849,0.4,0.0397,-0.476,74,0.35
20211024212853,4.6,0.9278,-0.642,74,1.75
20211024212914,8.68,1.583,-0.556,74,2.78
20211024213011,0.44,0.0391,-0.476,75,0.35
20211024213016,4.56,0.9218,-0.642,75,1.75
20211024213031,8.62,1.5726,-0.556,75,2.78
20211024213121,0.44,0.0385,-0.476,76,0.35
20211024213126,4.54,0.9152,-0.642,76,1.75
20211024213139,8.56,1.5622,-0.556,76,2.78
20211024214518,9.9,0.6695,-0.182,72,2.78
20211024214606,9.34,0.9329,-0.288,72,2.78
20211024214737,9.04,1.1876,-0.391,72,2.78
20211024214801,8.84,1.4533,-0.493,72,2.78
20211024214844,8.69,1.714,-0.594,72,2.78
20211024215134,8.59,1.9614,-0.695,72,2.78
20211024215218,8.51,2.2122,-0.796,72,2.78
20211024215302,8.39,2.4678,-0.896,72,2.78
20211024215511,8.32,2.7165,-0.997,72,2.78
20211024215715,8.28,2.9647,-1.097,72,2.78
20211024215919,8.22,3.2108,-1.197,72,2.78
