ID,cTime,maxDeflection,vi,surfaceTension,radius
20211025095740,4.66,0.9556,-0.642,72,1.75
20211025095910,4.61,0.9463,-0.642,72,1.75
20211025100158,8.605,1.8182,-0.642,72,2.78
20211025100808,8.635,1.8255,-0.642,72,2.78
20211025101159,0.44,0.0732,-0.642,72,0.35
20211025101221,0.4225,0.0816,-0.642,72,0.35
20211025102212,0.43,0.0786,-0.642,72,0.35
20211025102445,0.44,0.0799,-0.642,72,0.35
20211025102632,0.44,0.0814,-0.641,72,0.35
20211025102810,0.43,0.08,-0.641,72,0.35
20211025102904,4.64,0.9538,-0.639,72,1.75
20211025103237,8.635,1.8222,-0.637,72,2.78
20211026172908,8.76,1.8468,-0.637,72,2.78
20211026172949,8.63,1.8259,-0.637,72,2.78
20211026173859,2.36,0.4278,-0.64,72,1
4229,-0.64,72,1,2.3,0.41572
