ID,cTime,maxDeflection,vi,surfaceTension,radius
20211019214043,10.85,0.7309,-0.174,27,2
20211019214149,10.3,1.0078,-0.283,27,2
20211019214338,9.95,1.2881,-0.388,27,2
20211019214525,9.85,1.5573,-0.49,27,2
20211019214709,9.675,1.8258,-0.592,27,2
20211019214802,9.6,2.0972,-0.693,27,2
20211019214943,9.6,2.389,-0.794,27,2
20211019215616,9.45,2.6399,-0.895,27,2
20211019215932,9.4312,2.9068,-0.995,27,2
20211019220558,9.4437,3.1855,-1.096,27,2
20211019221214,9.3625,3.4482,-1.196,27,2
20211019221834,9.275,3.6889,-1.296,27,2
20211019222142,9.275,3.9482,-1.396,27,2
20211019225105,7.945,2.0393,-0.844,27,1.75
20211020162417,9.1,0.4573,-0.144,27,1.75
20211020162507,8.65,0.6584,-0.23,27,1.75
20211020162555,8.4,0.8228,-0.31,27,1.75
20211020162642,8.4,1.0178,-0.388,27,1.75
20211020162811,8.15,1.1796,-0.465,27,1.75
20211020162932,8.125,1.3407,-0.541,27,1.75
20211020163136,8.1625,1.2721,-0.49,27,1.75
20211020163433,8.1625,1.4456,-0.566,27,1.75
20211020163720,8.0625,1.6054,-0.642,27,1.75
20211020164014,7.975,1.767,-0.718,27,1.75
20211020164251,7.95,1.9057,-0.794,27,1.75
20211020164333,7.975,2.1039,-0.869,27,1.75
20211020164619,7.9,2.2287,-0.945,27,1.75
20211020164706,7.825,2.4102,-1.02,27,1.75
20211020165005,7.825,2.5729,-1.096,27,1.75
20211020165255,7.8375,2.7512,-1.171,27,1.75
20211020170454,2.7938,0.3817,-0.514,27,0.795
20211020170705,2.75,0.4264,-0.587,27,0.795
20211020170741,2.75,0.4768,-0.661,27,0.795
20211020170950,2.7375,0.5238,-0.734,27,0.795
20211020171155,2.7375,0.5738,-0.809,27,0.795
20211020171358,2.7438,0.6278,-0.883,27,0.795
20211020171805,2.7125,0.6659,-0.957,27,0.795
20211020171901,2.7188,0.7183,-1.032,27,0.795
20211020172246,2.7125,0.7646,-1.106,27,0.795
20211020172628,2.6875,0.806,-1.181,27,0.795
20211020174753,0.7125,0.1038,-0.522,27,0.35
20211020174805,0.675,0.1184,-0.594,27,0.35
20211020174822,0.6688,0.1357,-0.667,27,0.35
20211020174919,0.6625,0.1444,-0.74,27,0.35
20211020174933,0.6688,0.1594,-0.814,27,0.35
20211020174947,0.6687,0.1766,-0.888,27,0.35
20211020175013,0.6562,0.1891,-0.962,27,0.35
20211020175039,0.6508,0.2047,-1.036,27,0.35
20211020175343,0.65,0.2144,-1.11,27,0.35
20211020175409,0.6469,0.2304,-1.185,27,0.35
20211020213640,19.05,1.3031,-0.174,27,2.78
20211020213808,17.7,1.761,-0.283,27,2.78
20211020213928,17.05,2.2065,-0.388,27,2.78
20211020214045,16.5,2.6752,-0.49,27,2.78
20211020214310,16.15,3.1061,-0.592,27,2.78
20211020214428,15.875,3.5818,-0.693,27,2.78
20211020214651,15.6375,4.0088,-0.794,27,2.78
20211020215145,15.35,4.4627,-0.895,27,2.78
20211020215635,15.1875,4.9149,-0.995,27,2.78
20211020221601,15.025,5.3224,-1.096,27,2.78
20211020222730,14.875,5.7515,-1.196,27,2.78
20211023090330,2.35,0.2878,-0.4,27,0.795
20211023090752,2.4125,0.2273,-0.3,27,0.795
20211023090852,2.48,0.1572,-0.2,27,0.795
20211023101623,2.18,0.333,-0.467,27,0.35
20211023103754,12.32,0.8595,-0.2,50,2.78
20211023104256,0.725,0.0972,-0.476,27,0.35
20211023104416,7.24,1.5094,-0.642,27,1.75
20211023104725,7.23,1.5119,-0.642,27,1.75
