cTime,vi,radius
2.52,0.09850746269,0.795
2.48,0.1970149254,0.795
2.44,0.2985074627,0.795
2.4,0.4985074627,0.795
2.4,0.7970149254,0.795
2.36,0.9940298507,0.795
2.36,1.194029851,0.795
0.76,0.1402985075,0.35
0.68,0.3014925373,0.35
0.68,0.4776119403,0.35
0.64,0.6925373134,0.35
0.68,0.8746268657,0.35
0.6,1.071641791,0.35
0.6,1.194029851,0.35
6.04,0.1970149254,1.75
5.32,0.3402985075,1.75
5.08,0.6447761194,1.75
4.8,0.8447761194,1.75
4.56,1,1.75
4.84,1.134328358,1.75
4.6,1.256716418,1.75
11.88,0.1970149254,2.78
9.56,0.3582089552,2.78
8.6,0.5074626866,2.78
8.56,0.5582089552,2.78
7.84,0.7820895522,2.78
7.8,0.9432835821,2.78
7.04,1.029850746,2.78
6.8,1.244776119,2.78
