ID,vi,surfaceTension,radius,cTime,maxDeflection
2442,-0.0985592127658678,73,0.795,1.25,0.03692
2839,-0.197066633775823,73,0.795,1.56,0.08539
3045,-0.298533232224183,73,0.795,1.31,0.11793
3416,-0.498520199616477,73,0.795,1.315,0.2
4104,-0.797021061980714,73,0.795,1.33375,0.32323
5452,-0.994035903880624,73,0.795,1.3225,0.39966
848,-1.1940325825309,73,0.795,1.35375,0.48884
3715,-0.139971891617858,73,0.35,0.33,0.01157
3851,-0.301328833901001,73,0.35,0.325,0.02834
4156,-0.477529529856718,73,0.35,0.3925,0.05403
4908,-0.692495332570551,73,0.35,0.35125,0.07314
152,-0.874584573606891,73,0.35,0.37375,0.09663
