radius,vi,cTime,maxDeflection
0.35,0.1419354839,0.75,0.01041666667
0.35,0.3064516129,0.6666666667,0.05208333333
0.35,0.4806451613,0.7083333333,0.04166666667
0.35,0.7,0.6666666667,0.1145833333
0.35,0.8838709677,0.6666666667,0.1041666667
0.35,1.077419355,0.625,0.1041666667
0.35,1.206451613,0.5833333333,0.1145833333
0.795,0.2032258065,2.291666667,0.1666666667
0.795,0.3161290323,2.125,0.28125
0.795,0.5032258065,2.125,0.2708333333
0.795,0.7806451613,2.000,0.375
0.795,0.9967741935,1.958333333,0.4791666667
0.795,1.203225806,1.833333333,0.5208333333
0.795,0.835483871,1.833333333,0.3229166667
1.75,0.2,5.916666667,0.4166666667
1.75,0.3419354839,5.208333333,0.5625
1.75,0.6483870968,4.916666667,0.875
1.75,0.8516129032,4.666666667,1.072916667
1.75,1.009677419,4.416666667,1.166666667
1.75,1.14516129,4.708333333,1.53125
1.75,1.267741935,4.458333333,1.427083333
3,0.4258064516,11.83333333,1.385416667
3,0.5677419355,10.08333333,1.802083333
3,0.7032258065,9.125,1.947916667
3,0.8483870968,8.875,2.40625
3,0.9903225806,8.416666667,2.65625
3,1.132258065,7.833333333,2.822916667
3,0.6548387097,9.375,1.895833333
