ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution
Mon133708,-0.5,49.4,3.18,9.322875,1.4648186051,0.927357085017588
Mon133659,-0.5,49.4,4.76,16.090875,2.6834731214,0.988278273325986
Mon133651,-0.5,49.4,3.18,14.519875,2.3409139608,0.981921460652435
Mon133703,-0.5,49.4,4.76,25.830875,4.3734052107,0.990321042270789
Mon134344,-0.6,49.4,3.18,9.225875,1.7316437353,0.924259119221407
Mon134433,-0.6,49.4,4.76,15.860875,3.1520648441,0.99078608473015
Mon135025,-0.7,49.4,3.18,9.1529375,1.9969987876,0.92068589872762
Mon134712,-0.6,49.4,3.18,14.368875,2.7596745107,0.97973796364308
Mon135225,-0.7,49.4,4.76,15.717875,3.6221752956,0.992111821953258
Mon134917,-0.6,49.4,4.76,25.381875,5.1076148934,0.99152889443932
Mon135701,-0.8,49.4,3.18,9.1139375,2.2626151209,0.917543227809367
Mon135954,-0.8,49.4,4.76,15.607875,4.0921041695,0.993222935405213
Mon135732,-0.7,49.4,3.18,14.2739375,3.1795143824,0.978015631511657
Mon140407,-0.9,49.4,3.18,9.0674375,2.5280314171,0.916180029932218
Mon140124,-0.7,49.4,4.76,25.115875,5.8456952119,0.991312917726837
Mon140721,-0.9,49.4,4.76,15.514875,4.5613791427,0.99393407434491
Mon141048,-1,49.4,3.18,9.0439375,2.7942393994,0.914850169632822
Mon140755,-0.8,49.4,3.18,14.1949375,3.5994179827,0.976688158643268
Mon141459,-1,49.4,4.76,15.4699375,5.0347269984,0.994061942997782
Mon141729,-1.1,49.4,3.18,9.0249609375,3.0593323188,0.912717323149491
Mon141327,-0.8,49.4,4.76,24.949875,6.5898105177,0.991323951557218
Mon141820,-0.9,49.4,3.18,14.1589375,4.0221002567,0.97604056497842
Mon142233,-1.1,49.4,4.76,15.4179375,5.5067168079,0.994434581508204
Mon142531,-0.9,49.4,4.76,24.859875,7.3425002374,0.991700748076918
Mon142849,-1,49.4,3.18,14.1434375,4.4463237154,0.974972107918075
Mon143740,-1,49.4,4.76,24.8179375,8.1005013769,0.991394170522276
Mon143919,-1.1,49.4,3.18,14.1394609375,4.8739337559,0.975984758046698
Mon144953,-1.1,49.4,4.76,24.8279375,8.8669172714,0.990679098042571
