ID,vi,surfaceTension,radius,cTime,maxDeflection
3605,-0.2,28,0.9,3.3615,0.1803934575
3944,-0.5,28,0.9,3.269875,0.4254728167
4321,-0.8,28,0.9,3.2579375,0.6675724596
4717,-1.1,28,0.9,3.2579375,0.9082680477
5107,-0.2,28,0.95,3.5955,0.1975162267
5455,-0.5,28,0.95,3.485875,0.4632314082
5841,-0.8,28,0.95,3.4629375,0.7251980809
222,-1.1,28,0.95,3.4579375,0.9884260457
5814,-0.2,27,0.995,3.8315,0.2152955984
242,-0.5,27,0.995,3.729875,0.5068493878
737,-0.8,27,0.995,3.704875,0.7959999824
1200,-1.1,27,0.995,3.6969375,1.0836416792
1633,-0.14194,27,0.35,0.69275,0.0298857365
2436,-0.30645,27,0.35,0.666875,0.0614436472
3216,-0.47761,27,0.35,0.6594375,0.0956337502
3930,-0.7,27,0.35,0.64946875,0.1361140656
4740,-0.88387,27,0.35,0.64546875,0.1702864115
5421,-1.07742,27,0.35,0.64271875,0.2071277588
1,-1.20645,27,0.35,0.640484375,0.2298054047
5711,-0.50322,27,0.795,2.330875,0.3557598604
733,-0.99677,27,0.795,2.2909375,0.6913671181
1214,-1.20322,27,0.795,2.2799375,0.8249530156
5040,-0.20323,27,0.795,2.4225,0.1525945838
5508,-0.31613,27,0.795,2.37375,0.2310881573
952,-0.78065,27,0.795,2.2989375,0.5466603552
532,-0.83548,27,0.795,2.2979375,0.584180467
634,-0.2,27.001,1.75,7.956875,0.5343815743
926,-0.34194,27.001,1.75,7.6909375,0.8570255425
1218,-0.64839,27.001,1.75,7.51359375,1.5499018441
1457,-0.85161,27.001,1.75,7.48234375,2.0109862137
1755,-1.00968,27.001,1.75,7.47359375,2.3714506179
2052,-1.14516,27.001,1.75,7.474921875,2.68324672
2347,-1.26774,27.001,1.75,7.472421875,2.9665398217
2644,-0.42581,27.001,3,16.454375,2.347496486
3111,-0.56774,27.001,3,16.1671875,3.0291391741
3526,-0.70323,27.001,3,16.0246875,3.6811340838
3814,-0.84839,27.001,3,15.9471875,4.3892114764
4052,-0.99032,27.001,3,15.94484375,5.0930915949
4340,-1.13226,27.001,3,15.97484375,5.8015955331
4629,-0.65484,27.001,3,16.0596875,3.447870594
