ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution
2710,-0.03125,27,0.35,0.75,0.0073502076,0.483811042312382
2442,-0.0625,27,0.35,0.7263333333,0.0140390855,0.502812756516944
5901,-0.1,27,0.35,0.7098333333,0.0218266151,0.499698135319197
2215,-0.125,27,0.35,0.6985,0.0268338965,0.493332404882828
1633,-0.14194,27,0.35,0.69275,NaN,0.489953279495239
1853,-0.25,27,0.35,0.6779583333,0.0517105111,0.475644818401729
2436,-0.30645,27,0.35,0.666875,NaN,0.458809196949005
3216,-0.47761,27,0.35,0.6594375,NaN,0.46221336722374
3930,-0.7,27,0.35,0.64946875,NaN,0.439091891050339
814,-0.88387,27,0.35,0.648234375,NaN,0.439517755200643
5421,-1.07742,27,0.35,0.64271875,NaN,0.4291872382164
1,-1.20645,27,0.35,0.640484375,NaN,0.420523911714554
417,-0.03125,27,0.795,3.512,0.0309623821,0.517960211758659
135,-0.0625,27,0.795,3.138,0.0540472244,0.498945802197274
134,-0.1,27,0.795,2.597,0.0806680024,0.463989610630203
5914,-0.125,27,0.795,2.5276666667,0.0985686274,0.471618019527839
5040,-0.20323,27,0.795,2.4225,NaN,0.479275196790695
5643,-0.25,27,0.795,2.41725,0.1865921,0.47920523802982
5508,-0.31613,27,0.795,2.37375,NaN,0.47805655002594
5711,-0.50322,27,0.795,2.330875,NaN,0.462092906236649
952,-0.78065,27,0.795,2.2989375,NaN,0.461323946714401
532,-0.83548,27,0.795,2.2979375,NaN,0.460339039564133
733,-0.99677,27,0.795,2.2909375,NaN,0.453775942325592
1214,-1.20322,27,0.795,2.2799375,NaN,0.443573564291
456,-0.03125,27,0.9,4.0986666667,0.0397350752,0.826235849474546
210,-0.0625,27,0.9,3.7273333333,0.0665945813,0.741306224279687
444,-0.1,27,0.9,3.573,0.0990264989,0.701701246050248
5914,-0.125,27,0.9,3.525,0.1205743219,0.678596421948808
3605,-0.2,28,0.9,3.3615,0.1803934575,0.652912336954611
5616,-0.25,27,0.9,3.4078333333,0.2270188624,0.643635648528795
3944,-0.5,28,0.9,3.269875,0.4254728167,0.608804695853421
4321,-0.8,28,0.9,3.2579375,0.6675724596,0.596640093148014
4717,-1.1,28,0.9,3.2579375,0.9082680477,0.590665696205778
706,-0.03125,27,0.95,4.3493333333,0.0439213016,0.881630218227075
