ID,vi,surfaceTension,radius,cTime,maxDeflection
634,-0.2,27.001,1.75,7.956875,0.5343815743
926,-0.34194,27.001,1.75,7.6909375,0.8570255425
1218,-0.64839,27.001,1.75,7.51359375,1.5499018441
1457,-0.85161,27.001,1.75,7.48234375,2.0109862137
1755,-1.00968,27.001,1.75,7.47359375,2.3714506179
2052,-1.14516,27.001,1.75,7.474921875,2.68324672
2347,-1.26774,27.001,1.75,7.472421875,2.9665398217
2644,-0.42581,27.001,3,16.454375,2.347496486
3111,-0.56774,27.001,3,16.1671875,3.0291391741
3526,-0.70323,27.001,3,16.0246875,3.6811340838
3814,-0.84839,27.001,3,15.9471875,4.3892114764
4052,-0.99032,27.001,3,15.94484375,5.0930915949
4340,-1.13226,27.001,3,15.97484375,5.8015955331
4629,-0.65484,27.001,3,16.0596875,3.447870594
