ID,vi,surfaceTension,radius,cTime,maxDeflection
2648,-0.00297,27,0.35,0.688,0.0006480357
2700,-0.00294,27,0.35,Inf,0.0006389672
2713,-0.00297,27,0.35,0.688,0.0006480357
2726,-0.01306,27,0.795,3.952,0.0165458393
2753,-0.01303,27,0.795,3.952,0.0165490591
2821,-0.01297,27,0.795,3.96,0.0165288201
2851,-0.01285,27,0.795,3.972,0.0164914731
2919,-0.0126,27,0.795,4.004,0.0164316652
2947,-0.01212,27,0.795,4.076,0.0163454231
3016,-0.01114,27,0.795,4.344,0.0164235423
3046,-0.00919,27,0.795,4.432,0.0147649304
3116,-0.00528,27,0.795,Inf,0.0110806482
3149,-0.00919,27,0.795,4.432,0.0147649304
3224,-0.00723,27,0.795,4.348,0.0126382366
3256,-0.00626,27,0.795,4.468,0.0118210149
3328,-0.00577,27,0.795,4.7,0.0114392009
3404,-0.00552,27,0.795,Inf,0.0112312625
3438,-0.00565,27,0.795,Inf,0.0113545593
3512,-0.00571,27,0.795,Inf,0.0114159147
4720,-0.0029410124,27,0.35,Inf,0.0006389672
4740,-0.0029716492,27,0.35,0.688,0.0006480357
4754,-0.0057067871,27,0.795,Inf,0.0114159147
4830,-0.0057678223,27,0.795,4.7,0.0114392009
4906,-0.5,27,1.75,7.551,1.203801508
4932,-0.25,27,1.75,7.76,0.6390780825
4959,-0.125,27,1.75,8.26,0.3560726294
5025,-0.0625,27,1.75,9.372,0.2155675304
5052,-0.03125,27,1.75,10.576,0.1499141819
5123,-0.015625,27,1.75,13.188,0.1266045418
5158,-0.0078125,27,1.75,14.14,0.1160475144
5238,-0.00390625,27,1.75,Inf,0.1138176793
5321,-0.005859375,27,1.75,14.464,0.1146636974
5359,-0.0048828125,27,1.75,14.648,0.1141689855
5443,-0.0043945313,27,1.75,14.792,0.1139847795
5528,-0.0041503906,27,1.75,14.816,0.1139045524
5619,-0.0040283203,27,1.75,Inf,0.1138031652
5719,-0.0040893555,27,1.75,Inf,0.1138366266
5817,-0.5,27,3,16.126,2.6809135147
5856,-0.25,27,3,17.316,1.49467816
5941,-0.125,27,3,19.336,0.9196116764
24,-0.0625,27,3,20,0.6569898751
111,-0.03125,27,3,20,0.5548005331
147,-0.015625,27,3,20,0.5201100018
225,-0.0078125,27,3,20,0.5108791656
1331,-0.05,27,3,20,0.6076025725
1359,-0.025,27,3,20,0.5376904882
1431,-0.0125,27,3,20,0.5156728239
1615,-0.25,27,3,17.316,1.49467816
1647,-0.125,27,3,19.336,0.9196116764
1725,-0.0625,27,3,22.764,0.6569898751
1800,-0.03125,27,3,26.376,0.5548005331
1843,-0.015625,27,3,28.728,0.5201100018
1936,-0.0078125,27,3,30.164,0.5108791656
2047,-0.00390625,27,3,Inf,0.5086235816
2202,-0.005859375,27,3,30.712,0.5095856051
2311,-0.0048828125,27,3,Inf,0.5091015477
2415,-0.0053710938,27,3,Inf,0.5092949074
2524,-0.0056152344,27,3,Inf,0.5094398607
2633,-0.0057373047,27,3,Inf,0.5094357059
2750,-0.0057983398,27,3,30.72,0.5096018121
4845,-0.0057373047,27,3,Inf,0.5094357059
4958,-0.0057983398,27,3,30.72,0.5096018121
5524,-0.0029410124,27,0.35,Inf,0.0011396903
5704,-0.0029716492,27,0.35,Inf,0.0011453207
5816,-0.0029869676,27,0.35,Inf,0.0011527148
5935,-0.0030176044,27,0.35,Inf,0.0011582878
55,-0.0030788779,27,0.35,1.082,0.0011727127
211,-0.0057067871,27,0.795,4.844,0.0138641548
427,-0.0056762695,27,0.795,4.848,0.013858497
646,-0.0056152344,27,0.795,4.856,0.0138485727
