ID,vi,surfaceTension,radius,cTime,maxDeflection
3510,-0.99851,50.6164,0.795,1.6739375,0.509023943
5115,-0.99851,50.6164,0.795,1.6739375,0.509023943
1630,-0.99851,50.6164,0.795,1.65375,0.5029384031
2055,-0.99851,50.6164,0.795,1.65375,0.5029384031
952,-0.78065,27,0.795,2.2989375,0.5466603552
3823,-1.20645,27,0.795,2.2744375,0.832626964
5451,-0.50322,27,0.795,2.33234375,0.357437318286039
957,-0.50323,73,0.795,1.43484375,0.2196270421
1752,-0.00032,27,0.795,Inf,0.0045601975
3037,-0.104515625,27,0.995,3.792,0.1097639426,0.763779035550054
0814,-0.88387,27,0.35,0.648234375,0.1727061578,0.439517755200643
3018,-0.0078125,27,0.95,5.534,0.0255713706,1.01118091238174
Sun190227,-0.50323,5,1,6.5995,1.0583465609,0.984198758443262
Mon185409,-0.349321255,2,1,25.685,1.7123632538,0.973646973660401
