ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density
Wed084404,-0.6207,49.4,1.59,3.2105833333,0.6030164328,0.976859180741712,3.25
Wed084404,-0.6108,49.4,2.38,5.4571666667,1.0862571591,0.978607812048346,3.25
Wed084404,-0.6372,49.4,1.59,4.9759166667,0.9924911326,0.980893016965313,7.93
Wed084401,-0.5945,49.4,2.38,8.7431666667,1.6623372902,0.988094796624357,7.93
Wed084753,-0.6837,49.4,1.59,3.2045833333,0.6619002946,0.978834265608799,3.25
Wed084811,-0.6662,49.4,2.38,5.4345833333,1.1785793807,0.980000186896345,3.25
Wed084952,-0.7229,49.4,1.59,4.9605833333,1.1190220216,0.979636913452233,7.93
Wed085157,-0.7506,49.4,1.59,3.1925833333,0.7225629603,0.977148111889779,3.25
Wed085210,-0.7376,49.4,2.38,5.4179166667,1.2976439209,0.980276372431662,3.25
Wed085010,-0.6885,49.4,2.38,8.6945833333,1.9068300269,0.986997139182602,7.93
Wed085557,-0.8236,49.4,1.59,3.18525,0.7889884316,0.974646192958733,3.25
Wed085614,-0.8143,49.4,2.38,5.3945833333,1.4249113011,0.980289841957839,3.25
Wed085539,-0.7884,49.4,1.59,4.95125,1.215759086,0.97887664897911,7.93
Wed085619,-0.7748,49.4,2.38,8.6625833333,2.1328640653,0.987792769020231,7.93
Wed085952,-0.8759,49.4,1.59,3.1829583333,0.837924272,0.976486514768877,3.25
Wed090019,-0.8583,49.4,2.38,5.38925,1.498014157,0.979505551439165,3.25
Wed090141,-0.8265,49.4,1.59,4.94325,1.2720602633,0.978716636487914,7.93
Wed090354,-0.9083,49.4,1.59,3.1782916667,0.8666305141,0.974855491173212,3.25
Wed090426,-0.8969,49.4,2.38,5.3845833333,1.5621981111,0.979287960668863,3.25
Wed090231,-0.8154,49.4,2.38,8.6499166667,2.2370773365,0.985903823627046,7.93
Wed090757,-0.9132,49.4,1.59,3.178625,0.8715638204,0.975461620078444,3.25
Wed090834,-0.9731,49.4,2.38,5.36725,1.688133107,0.979627000651908,3.25
Wed090744,-0.8891,49.4,1.59,4.936625,1.3644058164,0.977958114280254,7.93
Wed090854,-0.8822,49.4,2.38,8.6325833333,2.4127941577,0.987010807697446,7.93
Wed091355,-0.9309,49.4,1.59,4.936625,1.4261694817,0.97768632575034,7.93
Wed091522,-0.8915,49.4,2.38,8.63325,2.4366129225,0.986453912192,7.93
Wed092008,-1.01,49.4,1.59,4.9259583333,1.5430115625,0.977155732459632,7.93
Wed092149,-0.9347,49.4,2.38,8.6205833333,2.549391175,0.98626222220478,7.93
