ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density
Wed154207,-0.5,49.4,1.59,3.1748958333,0.4876764156,0.470678789423333,3.25
Wed154211,-0.5,49.4,2.38,6.318125,0.9230414814,0.954900509944139,3.25
Wed154206,-0.5,49.4,1.59,5.7098958333,0.7957444034,0.847829859940896,7.93
Wed154221,-0.5,49.4,2.38,9.628125,1.5110849455,0.937914304565821,7.93
Wed154435,-0.6,49.4,1.59,3.1515625,0.5794227621,0.467873597316387,3.25
Wed154459,-0.6,49.4,2.38,6.2723958333,1.0922514068,0.948160091389415,3.25
Wed154700,-0.7,49.4,1.59,3.1323958333,0.6704205796,0.464802899423768,3.25
Wed154739,-0.7,49.4,2.38,6.2457291667,1.2625830854,0.946267884444063,3.25
Wed154629,-0.6,49.4,2.38,9.5465625,1.7883170258,0.934816534766532,7.93
Wed154624,-0.6,49.4,1.59,5.6823958333,0.9447911963,0.843743428301698,7.93
Wed154920,-0.8,49.4,1.59,3.1166145833,0.7613845854,0.462155091656327,3.25
Wed155021,-0.8,49.4,2.38,6.2223958333,1.4322167838,0.943508781251867,3.25
Wed155155,-0.9,49.4,1.59,3.1049479167,0.8521237657,0.459907916854062,3.25
Wed155036,-0.7,49.4,2.38,9.4973958333,2.0652540889,0.931842047336108,7.93
Wed155040,-0.7,49.4,1.59,5.6632291667,1.094122545,0.843622435835407,7.93
Wed155307,-0.9,49.4,2.38,6.2015625,1.6013613909,0.943802640490933,3.25
Wed155426,-1,49.4,1.59,3.0966145833,0.942895645,0.457636371477666,3.25
Wed155549,-1,49.4,2.38,6.1936458333,1.7722329177,0.943991381765529,3.25
Wed155446,-0.8,49.4,2.38,9.4582291667,2.3425922576,0.929908877711171,7.93
Wed155653,-1.1,49.4,1.59,3.0849479167,1.0322361435,0.45473681195745,3.25
Wed155458,-0.8,49.4,1.59,5.65328125,1.2437953975,0.843183951570392,7.93
Wed155831,-1.1,49.4,2.38,6.1791145833,1.939889026,0.940955886644054,3.25
Wed155852,-0.9,49.4,2.38,9.4315625,2.6206256325,0.928788155744531,7.93
Wed155921,-0.9,49.4,1.59,5.64328125,1.3927133804,0.842817167800793,7.93
Wed160301,-1,49.4,2.38,9.4265625,2.8995964506,0.927504921051711,7.93
Wed160351,-1,49.4,1.59,5.6336979167,1.5408825267,0.842271947934853,7.93
Wed160709,-1.1,49.4,2.38,9.4274479167,3.1792050622,0.926435012872733,7.93
Wed160821,-1.1,49.4,1.59,5.6261979167,1.688821427,0.841256584798039,7.93
