ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density
Wed183912,-0.6372,49.4,1.59,5.4248958333,1.0002354117,0.827598366161162,7.93
Wed184313,-0.7229,49.4,1.59,5.4066145833,1.1275836964,0.824727020583222,7.93
Wed184553,-0.5945,49.4,2.38,9.3582291667,1.7728834551,0.932380470937443,7.93
Wed184727,-0.7884,49.4,1.59,5.39328125,1.2251771335,0.825511817215567,7.93
Wed184937,-0.6885,49.4,2.38,9.3048958333,2.0331394681,0.929804517095418,7.93
Wed185152,-0.8265,49.4,1.59,5.3916145833,1.2824867984,0.826380178736899,7.93
Wed185335,-0.7748,49.4,2.38,9.2765625,2.272533408,0.927653644187493,7.93
Wed185622,-0.8891,49.4,1.59,5.38328125,1.3751451467,0.823925520560067,7.93
Wed185720,-0.8154,49.4,2.38,9.2598958333,2.3857025617,0.92766828093746,7.93
Wed190116,-0.8822,49.4,2.38,9.2498958333,2.5715979904,0.926548137235944,7.93
Wed190048,-0.9309,49.4,1.59,5.3816145833,1.4383494168,0.825592346048449,7.93
Wed190450,-0.8915,49.4,2.38,9.2465625,2.597021594,0.925897650653274,7.93
Wed190507,-1.01,49.4,1.59,5.3699479167,1.5547724592,0.8235447359901,7.93
Wed190844,-0.9347,49.4,2.38,9.2365625,2.7173413414,0.925576342935767,7.93
Wed192734,-0.6108,49.4,2.38,5.88,1.0593600886,0.921263361104267,3.25
Wed192739,-0.6662,49.4,2.38,5.855,1.1446931031,0.894250256231176,3.25
Wed192743,-0.7376,49.4,2.38,5.985,1.2766367183,0.879835358761524,3.25
Wed192746,-0.8143,49.4,2.38,5.835,1.3963658149,0.919275084287986,3.25
Wed192749,-0.8583,49.4,2.38,5.815,1.4625467547,0.904245596038779,3.25
Wed192752,-0.8969,49.4,2.38,5.845,1.5293429403,0.900625498951551,3.25
Wed192755,-0.9731,49.4,2.38,5.965,1.6753659505,0.898069766922655,3.25
Wed192651,-0.6207,49.4,1.59,3.1465625,0.5983098455,0.467347012088062,3.25
Wed192858,-0.6837,49.4,1.59,3.1432291667,0.6571713806,0.467133367000833,3.25
Wed193100,-0.7506,49.4,1.59,3.12828125,0.7173435463,0.464374041287909,3.25
Wed193307,-0.8236,49.4,1.59,3.1174479167,0.7833445694,0.462066427614084,3.25
Wed193528,-0.8759,49.4,1.59,3.10828125,0.8304849623,0.460502147899693,3.25
Wed193747,-0.9083,49.4,1.59,3.1074479167,0.8603989626,0.46019211072243,3.25
Wed193957,-0.9132,49.4,1.59,3.1091145833,0.8653133129,0.460540274188962,3.25
