ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density
Wed000655,-0.5,49.4,1.59,3.1745833333,0.4876709727,0.471876841976478,3.25
Wed001403,-0.6,49.4,1.59,3.1505833333,0.579462465,0.469460518289953,3.25
Wed001525,-0.5,49.4,2.38,6.3145,0.9222102563,0.94856049039158,3.25
Wed002125,-0.7,49.4,1.59,3.1299166667,0.6703497413,0.466199980925283,3.25
Wed002425,-0.6,49.4,2.38,6.2698333333,1.0916831455,0.941139167686249,3.25
Wed002903,-0.8,49.4,1.59,3.1145833333,0.7611175611,0.463697118888915,3.25
Wed003259,-0.7,49.4,2.38,6.2419166667,1.2619035551,0.937650560604744,3.25
Wed003645,-0.9,49.4,1.59,3.1039583333,0.8519178395,0.461526610900219,3.25
Wed004136,-0.8,49.4,2.38,6.21925,1.4310259241,0.93406440425313,3.25
Wed004431,-1,49.4,1.59,3.0939583333,0.9422141461,0.4592658579691,3.25
Wed004601,-0.5,49.4,2.38,9.6238333333,1.5102819914,0.935882380385345,7.93
Wed005023,-0.9,49.4,2.38,6.19725,1.599720508,0.931815832441875,3.25
Wed005221,-1.1,49.4,1.59,3.0832916667,1.0316551245,0.4565081603838,3.25
Wed004859,-0.5,49.4,1.59,5.70525,0.7955381813,0.841580344282102,7.93
Wed005922,-1,49.4,2.38,6.18725,1.7706204464,0.932084601045406,3.25
Wed005914,-0.6,49.4,2.38,9.5325,1.7869881094,0.932490865846061,7.93
Wed010200,-0.6,49.4,1.59,5.6745833333,0.9443123912,0.83668489606664,7.93
Wed010831,-1.1,49.4,2.38,6.1725833333,1.9373959817,0.92748754077618,3.25
Wed011232,-0.7,49.4,2.38,9.4799166667,2.0634613719,0.929288495798446,7.93
Wed011459,-0.7,49.4,1.59,5.65525,1.0936721279,0.834882477242975,7.93
Wed012550,-0.8,49.4,2.38,9.43725,2.3399642587,0.926735006990573,7.93
Wed012803,-0.8,49.4,1.59,5.64325,1.2432169278,0.834142461473652,7.93
Wed013905,-0.9,49.4,2.38,9.4119166667,2.6174762107,0.925111830043405,7.93
Wed014117,-0.9,49.4,1.59,5.6292916667,1.3905886953,0.829009200816915,7.93
Wed015231,-1,49.4,2.38,9.4019166667,2.895497827,0.923467688792088,7.93
Wed015510,-1,49.4,1.59,5.6212916667,1.5397907402,0.829327182859876,7.93
Wed020612,-1.1,49.4,2.38,9.3979166667,3.1742655374,0.921972074893013,7.93
Wed020920,-1.1,49.4,1.59,5.6119583333,1.6873805498,0.826743537197335,7.93
