ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density
Tue231239,-0.6207,49.4,1.59,3.1445833333,0.5981569356,0.468543210597394,3.25
Tue231239,-0.6108,49.4,2.38,6.2725,1.1114108024,0.942452927909315,3.25
Tue231220,-0.5945,49.4,2.38,9.5331666667,1.7717034799,0.932832716738557,7.93
Tue231223,-0.6372,49.4,1.59,5.6665833333,0.9999325214,0.835966439529895,7.93
Tue232011,-0.6837,49.4,1.59,3.1385833333,0.6565427402,0.467878949420542,3.25
Tue232113,-0.6662,49.4,2.38,6.2505833333,1.2044245659,0.938931777235897,3.25
Tue232750,-0.7506,49.4,1.59,3.1265833333,0.7172798109,0.465890771698793,3.25
Tue232946,-0.7376,49.4,2.38,6.23325,1.3261995074,0.937777576872267,3.25
Tue232534,-0.6885,49.4,2.38,9.47725,2.0313033839,0.929582833686471,7.93
Tue232546,-0.7229,49.4,1.59,5.6499166667,1.127038098,0.832238632793973,7.93
Tue233532,-0.8236,49.4,1.59,3.1145833333,0.7831667174,0.463748454554572,3.25
Tue233822,-0.8143,49.4,2.38,6.2185833333,1.4572413565,0.937559082253557,3.25
Tue234314,-0.8759,49.4,1.59,3.1059583333,0.8300107971,0.461975531922772,3.25
Tue233855,-0.7748,49.4,2.38,9.4465833333,2.2701395857,0.927301760136407,7.93
Tue233902,-0.7884,49.4,1.59,5.6399166667,1.2244785266,0.831573203438441,7.93
Tue234714,-0.8583,49.4,2.38,6.20525,1.5295158796,0.933097855918137,3.25
Tue235107,-0.9083,49.4,1.59,3.1059583333,0.8602067592,0.46200344497694,3.25
Tue235216,-0.8154,49.4,2.38,9.43325,2.3831254663,0.927007818356433,7.93
Tue235230,-0.8265,49.4,1.59,5.63725,1.2817824321,0.831910796808109,7.93
Tue235630,-0.8969,49.4,2.38,6.19925,1.5946219318,0.931329338091551,3.25
Tue235904,-0.9132,49.4,1.59,3.1052916667,0.8645617797,0.461759075146668,3.25
Wed000616,-0.9731,49.4,2.38,6.18925,1.723373621,0.929172158729272,3.25
Wed000537,-0.8822,49.4,2.38,9.4185833333,2.5683001195,0.925515847915446,7.93
Wed000600,-0.8891,49.4,1.59,5.628625,1.3743385385,0.830191140814637,7.93
Wed001904,-0.8915,49.4,2.38,9.4219166667,2.5936376603,0.924694370564637,7.93
Wed002009,-0.9309,49.4,1.59,5.626625,1.4373771656,0.831282149566645,7.93
Wed003233,-0.9347,49.4,2.38,9.4065833333,2.71400887,0.924651140507306,7.93
Wed003426,-1.01,49.4,1.59,5.6169583333,1.553198497,0.826950967502444,7.93
