ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density
Wed094322,-0.3,107,2.38,3.6476666667,0.3301387531,0.379107357801318,3.25
Wed094309,-0.3,107,2.38,7.297,0.5466295967,0.573087692123671,7.93
Wed094554,-0.35,107,2.38,3.6051666667,0.3795616909,0.377472610920913,3.25
Wed094822,-0.4,107,2.38,3.5678333333,0.4281516246,0.374898103732597,3.25
Wed094811,-0.35,107,2.38,7.2385,0.6257157518,0.556265605667895,7.93
Wed095053,-0.45,107,2.38,3.5398333333,0.4766244344,0.372181966642156,3.25
Wed095319,-0.5,107,2.38,3.5278333333,0.5265898234,0.371947887184692,3.25
Wed095304,-0.4,107,2.38,7.2051666667,0.7059290494,0.54508068416037,7.93
Wed095547,-0.55,107,2.38,3.4985,0.5732846019,0.367817387089105,3.25
Wed095814,-0.6,107,2.38,3.4906653646,0.6228027691,0.367332369322936,3.25
Wed095758,-0.45,107,2.38,7.1758333333,0.7858452881,0.539677520038126,7.93
Wed100210,-0.65,107,2.38,3.4652864583,0.6687994861,0.36334477295711,3.25
Wed100503,-0.7,107,2.38,3.456,0.7171184341,0.361885011898481,3.25
Wed100252,-0.5,107,2.38,7.1518333333,0.8651540188,0.533782051067177,7.93
Wed100733,-0.75,107,2.38,3.4506197917,0.7660584944,0.361070442440477,3.25
Wed100744,-0.55,107,2.38,7.1385,0.9440180518,0.525870278775582,7.93
Wed101015,-0.8,107,2.38,3.4292916667,0.8108287994,0.357124012982161,3.25
Wed101238,-0.6,107,2.38,7.1239986979,1.0231018049,0.523308055159465,7.93
Wed101902,-0.65,107,2.38,7.1146197917,1.1032300033,0.523028208755433,7.93
Wed102410,-0.7,107,2.38,7.104,1.1801936266,0.516231279950392,7.93
Wed102906,-0.75,107,2.38,7.0972864583,1.2587104768,0.51417827587763,7.93
Wed103414,-0.8,107,2.38,7.090625,1.3369635234,0.512822123520954,7.93
