ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density
Mon224002,-0.3,107,2.38,3.6476666667,0.3301389037,0.379015105095661,3.25
Mon223932,-0.3,107,2.38,6.665,0.5466298543,0.534003626072319,7.93
Mon224108,-0.35,107,2.38,3.6051666667,0.3795619248,0.37738661508494,3.25
Mon224208,-0.4,107,2.38,3.5691666667,0.4281519675,0.374840970009935,3.25
Mon224144,-0.35,107,2.38,6.5838333333,0.6257430996,0.516527838582775,7.93
Mon224310,-0.45,107,2.38,3.5398333333,0.4766491842,0.372192220559277,3.25
Mon224411,-0.5,107,2.38,3.5278333333,0.5265904825,0.371880372511749,3.25
Mon224353,-0.4,107,2.38,6.5358333333,0.7059565473,0.504253805297708,7.93
Mon224512,-0.55,107,2.38,3.4985,0.5733125155,0.36774229566311,3.25
Mon224613,-0.6,107,2.38,3.4906653646,0.6228298535,0.367311093180914,3.25
Mon224601,-0.45,107,2.38,6.4945,0.785871078,0.49818613110895,7.93
Mon224751,-0.65,107,2.38,3.4666197917,0.6688377289,0.363274491622948,3.25
Mon224856,-0.7,107,2.38,3.456,0.7171201868,0.361705848560245,3.25
Mon224810,-0.5,107,2.38,6.4611666667,0.8651977936,0.491695237956656,7.93
Mon224958,-0.75,107,2.38,3.4506197917,0.7660606549,0.360928925117806,3.25
Mon225104,-0.8,107,2.38,3.4292916667,0.8108864979,0.357041350997578,3.25
Mon225016,-0.55,107,2.38,6.4331666667,0.9440678208,0.482438569799233,7.93
Mon225223,-0.6,107,2.38,6.4119986979,1.023196218,0.479555230954033,7.93
Mon225532,-0.65,107,2.38,6.3986197917,1.1033163745,0.478466975113422,7.93
Mon225746,-0.7,107,2.38,6.3746666667,1.1802209342,0.470947608065708,7.93
Mon225955,-0.75,107,2.38,6.3612864583,1.2588533552,0.46758339995796,7.93
Mon230213,-0.8,107,2.38,6.3479583333,1.3370846392,0.46536138231818,7.93
