ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Sat204206,-0.472,107,2.38,3.540875,0.499693505,0.371517905993085,3.25,4.041875,0.371517689723701
Sat204403,-0.4872,107,2.38,3.5389648438,0.5152650877,0.37181966699651,3.25,4.0409648438,0.371819463606101
Sat204604,-0.5685,107,2.38,3.5009648438,0.592902063,0.367250802111641,3.25,4.0059648438,0.367250651841828
Sat204806,-0.6331,107,2.38,3.4819648438,0.6551548662,0.364706228296956,3.25,3.9899648438,0.364706106409114
Sat205007,-0.6799,107,2.38,3.4659648438,0.6992180927,0.362204875983346,3.25,3.9759648438,0.362204769881878
Sat205210,-0.7411,107,2.38,3.4509648438,0.7575215646,0.359819441509596,3.25,3.9629648438,0.359819351858082
Sat205557,-0.3832,107,2.38,7.227875,0.6810999049,0.554072057314315,7.93,6.564875,0.513392757365906
Sat205931,-0.4667,107,2.38,7.183875,0.8151751492,0.541628893564127,7.93,6.500875,0.499403116806439
Sat210305,-0.541,107,2.38,7.1519648437,0.9324766811,0.532885861254699,7.93,6.4509648437,0.489322844436209
Sat210647,-0.6084,107,2.38,7.1339667969,1.039433172,0.527841925162622,7.93,6.4219667969,0.483020512942054
Sat211038,-0.6623,107,2.38,7.120953125,1.1233120423,0.522199794587569,7.93,6.395953125,0.476275655300836
Sat211415,-0.719,107,2.38,7.1129677734,1.2129360636,0.519826782722111,7.93,6.3799677734,0.472820471620796
Sat211827,-0.7299,107,2.38,7.1109609375,1.229514715,0.518002425333727,7.93,6.3749609375,0.470789962129236
