ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Wed214345,-0.3,107,2.38,3.661875,0.3315499163,0.37912287624036,3.25,4.158875,0.379122345166157
Wed214955,-0.35,107,2.38,3.611875,0.3803398318,0.37634657586592,3.25,4.108875,0.376346185688958
Wed215554,-0.4,107,2.38,3.586875,0.4305507333,0.376171999159146,3.25,4.085875,0.376171699227783
Wed220200,-0.3,107,2.38,7.309875,0.5475789224,0.572658404221516,7.93,6.673875,0.533221312486307
Wed220251,-0.45,107,2.38,3.5509990234,0.4782825786,0.372356173969923,3.25,4.0509990234,0.372355936512204
Wed221035,-0.5,107,2.38,3.5279609375,0.5267999514,0.370212323351695,3.25,4.0299609375,0.370212130241581
Wed221301,-0.35,107,2.38,7.254875,0.6277265847,0.559372312157042,7.93,6.600875,0.519087901182954
Wed221640,-0.55,107,2.38,3.507953125,0.5750961648,0.367953244827334,3.25,4.011953125,0.367953084596363
Wed222254,-0.6,107,2.38,3.48996875,0.6230271356,0.365747265691484,3.25,3.99596875,0.365747130518681
Wed222404,-0.4,107,2.38,7.217875,0.7080909852,0.550721220353539,7.93,6.549875,0.509626598817816
Wed222908,-0.65,107,2.38,3.475,0.6707530238,0.363512288859616,3.25,3.983,0.363512173227546
Wed223601,-0.7,107,2.38,3.4619667969,0.7185844959,0.361545801673145,3.25,3.9719667969,0.361545701577452
Wed223557,-0.45,107,2.38,7.1919990234,0.7889422237,0.545835498675255,7.93,6.5149990234,0.503937104490084
Wed224258,-0.75,107,2.38,3.4529677734,0.7667957763,0.360169950232244,3.25,3.9649677734,0.360169862695835
Wed224830,-0.5,107,2.38,7.1659609375,0.8673947033,0.536872834893585,7.93,6.4739609375,0.494061085695716
Wed225024,-0.8,107,2.38,3.4379667969,0.8131589793,0.357433462310404,3.25,3.9519667969,0.357433385073575
Wed225950,-0.55,107,2.38,7.150953125,0.9472875622,0.53323778172086,7.93,6.449953125,0.489634464675585
Wed231108,-0.6,107,2.38,7.13396875,1.0253110267,0.526882854885266,7.93,6.42096875,0.482273687246381
Wed232258,-0.65,107,2.38,7.124,1.1046198988,0.52440861699961,7.93,6.403,0.47878024495946
Wed233518,-0.7,107,2.38,7.1159667969,1.1837910166,0.522456009417072,7.93,6.3889667969,0.475960632674981
Wed234748,-0.75,107,2.38,7.1079677734,1.2620563506,0.519401827697773,7.93,6.3729677734,0.471887651093746
Thu000036,-0.8,107,2.38,7.1019667969,1.3397076137,0.516098222362734,7.93,6.3579667969,0.467635429132675
