ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Sat205158,-0.472,70,2.38,4.3689375,0.6145541268,0.357137936628236,3.25,5.0059375,0.357137661650986
Sat205432,-0.4872,70,2.38,4.35496875,0.6316741091,0.355716736574009,3.25,4.99096875,0.355716478892127
Sat205704,-0.5685,70,2.38,4.3089609375,0.72684292,0.352390329332858,3.25,4.9489609375,0.352390138891898
Sat205938,-0.6331,70,2.38,4.2829648437,0.8024934762,0.350111020419108,3.25,4.9259648437,0.350110866139805
Sat210219,-0.6799,70,2.38,4.2669667969,0.8573104599,0.348624280791695,3.25,4.9129667969,0.348624146396495
Sat210509,-0.7411,70,2.38,4.2459609375,0.9278539249,0.346099046272489,3.25,4.8939609375,0.346098932807285
Sat205400,-0.472,99,2.38,3.6829375,0.5194388372,0.369569925988927,3.25,4.2059375,0.369569700222701
Sat205618,-0.4872,99,2.38,3.672953125,0.5344427654,0.368522531721148,3.25,4.196953125,0.36852231941723
Sat205834,-0.5685,99,2.38,3.637953125,0.6156365066,0.364886496555322,3.25,4.164953125,0.364886339739115
Sat210052,-0.6331,99,2.38,3.6159648437,0.6798321312,0.362101819092965,3.25,4.1459648437,0.362101691926528
Sat210317,-0.6799,99,2.38,3.5999667969,0.7257160453,0.35968471187985,3.25,4.1319667969,0.359684601201468
Sat210549,-0.7411,99,2.38,3.5849648437,0.7862114768,0.357408856891186,3.25,4.1189648437,0.357408763387469
Sat204206,-0.472,107,2.38,3.540875,0.499693505,0.371517905993085,3.25,4.041875,0.371517689723701
Sat204403,-0.4872,107,2.38,3.5389648438,0.5152650877,0.37181966699651,3.25,4.0409648438,0.371819463606101
Sat204604,-0.5685,107,2.38,3.5009648438,0.592902063,0.367250802111641,3.25,4.0059648438,0.367250651841828
Sat204806,-0.6331,107,2.38,3.4819648438,0.6551548662,0.364706228296956,3.25,3.9899648438,0.364706106409114
Sat205007,-0.6799,107,2.38,3.4659648438,0.6992180927,0.362204875983346,3.25,3.9759648438,0.362204769881878
Sat205210,-0.7411,107,2.38,3.4509648438,0.7575215646,0.359819441509596,3.25,3.9629648438,0.359819351858082
Sat205145,-0.472,115,2.38,3.417875,0.4826383865,0.373948210331779,3.25,3.898875,0.373948002695895
Sat205348,-0.4872,115,2.38,3.4139609375,0.4972772028,0.373753906014468,3.25,3.8959609375,0.373753710727254
Sat205550,-0.5685,115,2.38,3.3799648437,0.5726742397,0.369512769936508,3.25,3.8649648437,0.369512625617932
Sat205756,-0.6331,115,2.38,3.3629648437,0.633260377,0.367351038858618,3.25,3.8509648437,0.367350921769472
Sat210004,-0.6799,115,2.38,3.3469648437,0.6756461085,0.364558969990675,3.25,3.8369648437,0.364558868050013
Sat210211,-0.7411,115,2.38,3.3329667969,0.7320109624,0.362163866454032,3.25,3.8249667969,0.362163780304498
