ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Null,-0.472,NaN,2.38,NaN,0.6498,NaN,3.25,4.828,0.6403
Null,-0.4872,NaN,2.38,NaN,0.6057,NaN,3.25,4.508,0.595
Null,-0.5685,NaN,2.38,NaN,0.7268,NaN,3.25,4.664,0.5762
Null,-0.6331,NaN,2.38,NaN,0.9196,NaN,3.25,5.104,0.5922
Null,-0.6799,NaN,2.38,NaN,0.9636,NaN,3.25,4.989,0.5977
Null,-0.7411,NaN,2.38,NaN,1.002,NaN,3.25,4.851,0.6008
Null,-0.3832,NaN,2.38,NaN,1.019,NaN,7.93,9.145,0.5218
Null,-0.4667,NaN,2.38,NaN,1.178,NaN,7.93,8.727,0.5598
Null,-0.541,NaN,2.38,NaN,1.277,NaN,7.93,8.382,0.5457
Null,-0.6084,NaN,2.38,NaN,1.344,NaN,7.93,7.942,0.538
Null,-0.6623,NaN,2.38,NaN,1.377,NaN,7.93,7.580,0.5551
Null,-0.719,NaN,2.38,NaN,1.487,NaN,7.93,7.520,0.5697
Null,-0.7299,NaN,2.38,NaN,1.481,NaN,7.93,7.458,0.5585
