verb,answer,example
absent,from,Mary was absent from school because she had the flu
accostumed,to, I am accostumed to getting up early to go to work
acquainted,with,Altough she just moved in she is already acquanted with her neighbour
addicted,to,Many people who are addicted to smoking have tried to quit more than once
afraid,of,She ran ahead of me because there was only one book left
angry,at;with,My friend was angry at me because I damaged his car
angry,about,Frank was realy angry about the damage to his car
annoyed,with,He was annoyed withme because the repair bill for the car was high
anxious,about,I am anxious about going to my job interview tomorrow morning
apparent,to,It is apparent to me that you didn't study for the test we had yesterday
appropiate,for,That dress is not appropiate for a young girl
ashamed,of,I am ashamed of my friend for cheating on his test
aware,of,I wasn't aware of his allergy to peanuts
bad,for,Eating too much sugar is bad for your health
based,on,My opinion is based on facts rather than speculation
blessed,with,She has been blessed with two healthy children
bored,by;with,I am bored with all the long political speeches on television these days
capable,of,Because she works so hard she is capable of achieving a high mark
certain,of;about,I've known him for many years and I am certain of his innocence
clear,to,It is clear to us that you did not prepare for this interview
committed,to,They recycle because they are committed to protecting the environment
composed,of,His essay is composed of five body paragraphs
concerned,about,She is concerned about climate change
confused,about,The students are confused about what to do for the next assignment
connected,to,The primer must be connected to the computer before you can print
conscious,of,She was in such a hurry that she was not conscious of the coming storm
content,to,Although her friends were swimming she was content to read her book
convinced,of,She was convinced of Martha's guilt
coordinated,with,The paint on the walls was coordinated with the colour of the furniture
critical,of,My parents are critical of my new friends because they don't know them
confidence,in,I have confidence in she. She has proved to be capable.
dedicated,to,THey are dedicated to saving the endangered species in the Arctic
dependent,on;upon,She is dependent on her parents for financial support for school
devoted,to,He devoted to the welfare of this children
different,from,Those two cars are different from each other in many ways
difficult,for,It is very difficult for her to save money because she doesn't earn a lot
disappointed,in;with,My brother started smoking again and I'm really disappointed in him
discouraged,about,He felt very discouraged about failing the final exam
disriminated,against,Because she didn't even get an interview she felt discriminated against
disgusted,by;with,She was disgusted by the bad language used by the other driver
done,with,I am done with the dictionary; you can use it now
eager,for,I am eager for information about how much our pay raise will be
eligible,for,She is eligible for the prize since she submited her work.
engaged,in,We heard on the news that our local politician is engaged in wrongdoing
engaged,to,She has been engaged to John for a year
enthusiastic,about,He just got golf clubs and is enthusiastic about learning how to play
envious,of,Mary is envious of those who can eat what they want without gaining weight
equal,to,Three plus two is equal to five
equipped,with,The new facilities are equipped with a lot of new machines
essential,to,Knowing about philosophy is essential to life
evident,to,It was evident to the teacher that the students were not ready for the test
excited,about,The employees were really excited about the upcoming long weekend
exhausted,from,He was exhausted from all the work he did in the garden this weekend
exposed,to,Children are exposed to a lot of violence if they watch unsupervised TV
