x_value,total_1,total_2
0,1000,1000
1,1007,1000
2,1014,1002
3,1019,1008
4,1017,1012
5,1016,1016
6,1024,1015
7,1029,1015
8,1030,1012
9,1035,1009
10,1029,1011
11,1034,1011
12,1034,1011
13,1034,1017
14,1037,1022
15,1043,1018
16,1042,1022
17,1042,1021
18,1041,1025
19,1046,1023
20,1048,1022
21,1049,1021
22,1051,1021
23,1051,1017
24,1046,1016
25,1044,1022
26,1043,1025
27,1038,1030
28,1035,1028
29,1035,1027
30,1032,1030
31,1030,1027
32,1029,1033
33,1031,1030
34,1036,1028
35,1044,1027
36,1039,1022
37,1037,1027
38,1034,1022
39,1040,1019
40,1041,1024
41,1037,1030
42,1041,1028
43,1040,1032
44,1036,1036
45,1035,1037
46,1039,1042
47,1040,1043
48,1046,1049
49,1054,1053
50,1060,1059
51,1061,1063
