ID de Licitacion,Institucion Convocante,Tipo de Licitacion,Fecha de Publicacion de convocatoria,Fecha de Cierre de Convocatoria,Fecha de primera Adjudicacion,Ministro a cargo,Categoria del bien a adquirir,Tag,URL de la Licitacion,Link al PBC
383613,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-07-06,,2020-07-15,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",,https://www.contrataciones.gov.py/licitaciones/convocatoria/383613-adquisicion-medio-transporte-viral-covid-19-mspbs-1.html,
383400,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-08-11,,2020-06-24,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/383400-adquisicion-medicamento-trastuzumab-emtansina-100-mg-mspbs-amparo-1.html,
382890,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-08-05,,2020-05-21,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382890-adquisicion-medicamentos-composicion-especifica-enfermedades-oncologicas-1.html,
382696,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-06-30,,2020-05-08,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382696-adquisicion-medicamento-oncologico-afatinib-40-mg-comprimido-mspbs-1.html,
382614,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-07-13,2020-07-20T10:00:00-04:00,2020-07-20,Julio Mazzoleni (PostCovid),"Servicios - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/382614-servicio-limpieza-edificios-oficinas-1.html,
382566,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-06-01,,2020-04-20,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382566-adquisicion-medicamento-trastuzumab-emtansina-100-mg-mspbs-1.html,
382515,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-28,,2020-04-20,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382515-ampliacion-redes-gases-medicinales-pabellon-aislamiento-ineram-mspbs-covid-19-1.html,
382497,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-05-18,,2020-04-21,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382497-adquisicion-cabinas-bioseguridad-tipo-iia-laboratorio-central-salud-contingencia-cov-1.html,
382479,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-05-13,,2020-04-15,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382479-adquisicion-medicamento-trastuzumab-emtansina-100mg-1.html,
382478,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-05-19,,2020-04-15,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",seguridad_nacional;covid_19,https://www.contrataciones.gov.py/licitaciones/convocatoria/382478-instalacion-bocas-gases-medicos-sala-azul-oro-hospital-gral-luque-covid19-msp-bs-1.html,
